# Time-averaged data for fix rdf_p
# TimeStep Number-of-rows
# Row c_rdf_p[1] c_rdf_p[2] c_rdf_p[3] c_rdf_p[4] c_rdf_p[5] c_rdf_p[6] c_rdf_p[7] c_rdf_p[8] c_rdf_p[9] c_rdf_p[10] c_rdf_p[11] c_rdf_p[12] c_rdf_p[13]
1000000 500
1 0.005 0 0 0 0 0 0 0 0 0 0 0 0
2 0.015 0 0 0 0 0 0 0 0 0 0 0 0
3 0.025 0 0 0 0 0 0 0 0 0 0 0 0
4 0.035 0 0 0 0 0 0 0 0 0 0 0 0
5 0.045 0 0 0 0 0 0 0 0 0 0 0 0
6 0.055 0 0 0 0 0 0 0 0 0 0 0 0
7 0.065 0 0 0 0 0 0 0 0 0 0 0 0
8 0.075 0 0 0 0 0 0 0 0 0 0 0 0
9 0.085 0 0 0 0 0 0 0 0 0 0 0 0
10 0.095 0 0 0 0 0 0 0 0 0 0 0 0
11 0.105 0 0 0 0 0 0 0 0 0 0 0 0
12 0.115 0 0 0 0 0 0 0 0 0 0 0 0
13 0.125 0 0 0 0 0 0 0 0 0 0 0 0
14 0.135 0 0 0 0 0 0 0 0 0 0 0 0
15 0.145 0 0 0 0 0 0 0 0 0 0 0 0
16 0.155 0 0 0 0 0 0 0 0 0 0 0 0
17 0.165 0 0 0 0 0 0 0 0 0 0 0 0
18 0.175 0 0 0 0 0 0 0 0 0 0 0 0
19 0.185 0 0 0 0 0 0 0 0 0 0 0 0
20 0.195 0 0 0 0 0 0 0 0 0 0 0 0
21 0.205 0 0 0 0 0 0 0 0 0 0 0 0
22 0.215 0 0 0 0 0 0 0 0 0 0 0 0
23 0.225 0 0 0 0 0 0 0 0 0 0 0 0
24 0.235 0 0 0 0 0 0 0 0 0 0 0 0
25 0.245 0 0 0 0 0 0 0 0 0 0 0 0
26 0.255 0 0 0 0 0 0 0 0 0 0 0 0
27 0.265 0 0 0 0 0 0 0 0 0 0 0 0
28 0.275 0 0 0 0 0 0 0 0 0 0 0 0
29 0.285 0 0 0 0 0 0 0 0 0 0 0 0
30 0.295 0 0 0 0 0 0 0 0 0 0 0 0
31 0.305 0 0 0 0 0 0 0 0 0 0 0 0
32 0.315 0 0 0 0 0 0 0 0 0 0 0 0
33 0.325 0 0 0 0 0 0 0 0 0 0 0 0
34 0.335 0 0 0 0 0 0 0 0 0 0 0 0
35 0.345 0 0 0 0 0 0 0 0 0 0 0 0
36 0.355 0 0 0 0 0 0 0 0 0 0 0 0
37 0.365 0 0 0 0 0 0 0 0 0 0 0 0
38 0.375 0 0 0 0 0 0 0 0 0 0 0 0
39 0.385 0 0 0 0 0 0 0 0 0 0 0 0
40 0.395 0 0 0 0 0 0 0 0 0 0 0 0
41 0.405 0 0 0 0 0 0 0 0 0 0 0 0
42 0.415 0 0 0 0 0 0 0 0 0 0 0 0
43 0.425 0 0 0 0 0 0 0 0 0 0 0 0
44 0.435 0 0 0 0 0 0 0 0 0 0 0 0
45 0.445 0 0 0 0 0 0 0 0 0 0 0 0
46 0.455 0 0 0 0 0 0 0 0 0 0 0 0
47 0.465 0 0 0 0 0 0 0 0 0 0 0 0
48 0.475 0 0 0 0 0 0 0 0 0 0 0 0
49 0.485 0 0 0 0 0 0 0 0 0 0 0 0
50 0.495 0 0 0 0 0 0 0 0 0 0 0 0
51 0.505 0 0 0 0 0 0 0 0 0 0 0 0
52 0.515 0 0 0 0 0 0 0 0 0 0 0 0
53 0.525 0 0 0 0 0 0 0 0 0 0 0 0
54 0.535 0 0 0 0 0 0 0 0 0 0 0 0
55 0.545 0 0 0 0 0 0 0 0 0 0 0 0
56 0.555 0 0 0 0 0 0 0 0 0 0 0 0
57 0.565 0 0 0 0 0 0 0 0 0 0 0 0
58 0.575 0 0 0 0 0 0 0 0 0 0 0 0
